,daily_pnl,daily_pnl,daily_pnl,daily_pnl,net_pnl,net_pnl,win_rate,win_rate,num_trades,num_trades,avg_trade_size,buy_ratio,total_volume,total_volume
,mean,median,std,sum,mean,sum,mean,median,mean,sum,mean,mean,mean,sum
sentiment_binary,,,,,,,,,,,,,,
Fear,5185.1464,122.737,31224.1488,4096265.6901,5037.8736,3979920.1075,0.3571,0.3122,105.3633,83237,8529.8598,0.5215,756720.318,597809051.23
Greed,4144.2083,265.2477,29252.0377,4865300.5836,4067.4372,4775171.2262,0.3627,0.3288,76.9123,90295,5954.6326,0.4723,351829.352,413047659.29
