feature,importance
buy_ratio,0.39919210677476147
num_trades,0.18423738421154817
avg_trade_size,0.11687249362479965
pnl_lag,0.10956983374498673
win_rate_lag,0.08432679961400502
volume_seg_encoded,0.02880540426430904
day_of_week,0.02835897229167301
frequency_seg_encoded,0.0261092243827615
sentiment_encoded,0.01221216681460403
performance_seg_encoded,0.010315614276551605
